duration,src_bytes,dst_bytes,packet_count,protocol,failed_logins,attack_type
1,9.060214913398545,6.037870919922137,6.448889394146858,TCP,0.0,DDoS
1,6.214608098422191,5.003946305945459,4.882801922586371,UDP,0.0,PortScan
10,5.916202062607435,5.081404364984463,4.663439094112067,UDP,0.0,PortScan
2,8.54461378699223,5.771441123130016,6.502790045915623,TCP,0.0,DDoS
36,6.263398262591624,6.148468295917647,4.07753744390572,UDP,2.3978952727983707,BruteForce
7,5.4680601411351315,4.276666119016055,5.356586274672012,UDP,0.0,PortScan
17,6.052089168924417,6.905753276311464,3.828641396489095,TCP,0.0,Normal
49,5.298317366548036,7.501634457883413,2.0794415416798357,TCP,0.0,Normal
19,4.68213122712422,7.343426229147367,2.0794415416798357,UDP,0.0,Normal
19,7.349873704738337,7.59890045687141,1.791759469228055,UDP,0.0,Normal
7,6.175867270105761,3.8066624897703196,5.641907070938114,TCP,0.0,PortScan
45,5.2832037287379885,7.390798521735676,3.713572066704308,UDP,0.0,Normal
1,5.342334251964811,5.288267030694535,4.477336814478207,TCP,0.0,PortScan
5,8.783702698635217,6.175867270105761,6.1224928095143865,TCP,0.0,DDoS
60,7.265429723253953,6.953684210870537,2.995732273553991,TCP,0.0,Normal
4,9.204523486654617,6.068425588244111,5.062595033026967,TCP,0.0,DDoS
1,4.8283137373023015,3.6109179126442243,5.135798437050262,TCP,0.0,PortScan
60,7.896924656268864,6.8679744089702925,3.4965075614664802,TCP,0.0,Normal
8,4.7535901911063645,4.672828834461906,5.356586274672012,UDP,0.0,PortScan
9,5.966146739123692,3.7612001156935624,4.844187086458591,TCP,0.0,PortScan
2,5.802118375377063,3.1354942159291497,4.574710978503383,UDP,0.0,PortScan
8,5.003946305945459,3.1780538303479458,4.2626798770413155,TCP,0.0,PortScan
2,5.575949103146316,5.293304824724492,5.62040086571715,TCP,0.0,PortScan
22,7.0825485693553,7.289610521451167,2.6390573296152584,TCP,0.0,Normal
7,5.755742213586912,4.454347296253507,4.61512051684126,TCP,0.0,PortScan
27,6.697034247666484,5.645446897643238,4.499809670330265,UDP,2.1972245773362196,BruteForce
3,8.941937914256359,6.0063531596017325,6.81783057145415,TCP,0.0,DDoS
14,7.218176838403408,7.555381944240273,3.5263605246161616,UDP,0.0,Normal
1,6.1675164908883415,5.017279836814924,5.552959584921617,UDP,0.0,PortScan
25,7.260522598089852,7.005789019253503,3.4011973816621555,UDP,0.0,Normal
38,5.739792912179234,3.9889840465642745,4.219507705176107,UDP,1.9459101490553132,BruteForce
8,5.948034989180646,3.258096538021482,4.2626798770413155,UDP,0.0,PortScan
27,6.871091294610546,6.142037405587356,4.51085950651685,UDP,2.0794415416798357,BruteForce
9,7.547501682814967,7.044905117129371,3.7376696182833684,UDP,0.0,Normal
6,5.978885764901122,4.51085950651685,4.406719247264253,UDP,0.0,PortScan
5,9.206332350578643,5.583496308781699,6.775366090936392,TCP,0.0,DDoS
31,6.091309882077698,7.484930283289661,3.258096538021482,UDP,0.0,Normal
31,5.4638318050256105,5.081404364984463,4.02535169073515,UDP,2.302585092994046,BruteForce
5,5.54907608489522,4.624972813284271,4.442651256490317,UDP,0.0,PortScan
22,7.234177179749849,6.461468176353717,2.1972245773362196,TCP,0.0,Normal
1,8.49351506406166,5.5909869805108565,6.863803391452954,TCP,0.0,DDoS
2,5.976350909297934,5.003946305945459,4.969813299576001,TCP,0.0,PortScan
11,5.968707559985366,5.707110264748875,3.258096538021482,UDP,1.6094379124341003,BruteForce
4,6.040254711277414,4.2626798770413155,4.574710978503383,UDP,0.0,PortScan
2,4.07753744390572,5.111987788356544,5.081404364984463,UDP,0.0,PortScan
15,7.955425088912672,5.298317366548036,3.332204510175204,UDP,0.0,Normal
17,5.802118375377063,5.389071729816501,4.04305126783455,UDP,2.302585092994046,BruteForce
1,6.095824562432225,5.0238805208462765,4.330733340286331,UDP,0.0,PortScan
4,8.576593534697684,5.720311776607412,5.918893854273146,TCP,0.0,DDoS
3,8.252185436003328,5.940171252720432,6.728628613084702,TCP,0.0,DDoS
6,6.184148890937483,4.418840607796598,5.564520407322694,UDP,0.0,PortScan
4,5.6240175061873385,5.288267030694535,5.501258210544727,TCP,0.0,PortScan
5,5.7430031878094825,5.1298987149230735,5.3471075307174685,UDP,0.0,PortScan
1,8.591001118560957,5.869296913133774,6.478509642208569,TCP,0.0,DDoS
53,7.3783837129967145,7.5688956634069955,2.9444389791664403,TCP,0.0,Normal
18,6.756932389247553,5.87493073085203,4.61512051684126,UDP,2.1972245773362196,BruteForce
3,6.18826412308259,5.135798437050262,5.484796933490655,TCP,0.0,PortScan
14,7.367708572374371,7.074116816197362,3.295836866004329,TCP,0.0,Normal
4,8.740176729929082,5.272999558563747,6.642486801367256,TCP,0.0,DDoS
14,7.9672801789422,5.921578419643816,2.70805020110221,UDP,0.0,Normal
6,5.8916442118257715,5.030437921392435,5.638354669333745,UDP,0.0,PortScan
2,5.771441123130016,5.1298987149230735,5.700443573390687,TCP,0.0,PortScan
37,4.795790545596741,5.209486152841421,2.995732273553991,UDP,2.1972245773362196,BruteForce
